,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,LE_angle,RE_angle,Xbound,Ybound,frame_num,action
0,[      829.5         348],[        845       335.5],[        815      334.25],[        865       348.5],[      792.5         346],[        899         455],[        745         448],[        922       577.5],[        718         570],[        927         684],[        708         673],[        862       686.5],[        764       683.5],[        854         854],[      759.5         852],[        847      1010.5],[      757.5      1012.5],187.9458055265085,173.06624550693442,"[679.5, 958.75]","[277.4375, 1070.9375]",1,walk
1,[        830       347.5],[      845.5         335],[        815      333.75],[        865      348.25],[      792.5         346],[        899         455],[      745.5       447.5],[        922       577.5],[        718         569],[      925.5         684],[      707.5         673],[        862         687],[        764       683.5],[        854         854],[      759.5         852],[        847        1010],[        757      1012.5],188.75149204910133,173.01183430339668,"[679.375, 959.375]","[277.3125, 1070.8125]",2,stand
2,[      829.5      346.75],[      845.5       334.5],[        815         333],[      865.5      347.75],[      793.5       345.5],[        900      455.25],[      745.5         447],[        922         578],[        717         567],[      925.5         684],[        706       672.5],[        862         687],[        764       684.5],[        854         853],[        760         851],[        847        1009],[        756      1010.5],188.26986188932372,172.59224099320306,"[680.375, 960.375]","[277.3125, 1070.8125]",3,stand
3,[        830      346.75],[      845.5       334.5],[      815.5       333.5],[      865.5      347.25],[      793.5       345.5],[      900.5         455],[        746         447],[        922         578],[        717         567],[        925         684],[        706       672.5],[        862       686.5],[        764         684],[        854         853],[      759.5         851],[        847        1009],[      755.5      1010.5],188.29379976482156,172.36646823007862,"[679.90625, 961.15625]","[277.0625, 1070.5625]",4,stand
4,[        830       346.5],[        846      334.25],[      815.5         333],[        866      346.75],[      793.5         345],[        900       454.5],[        746       446.5],[      921.5       577.5],[        717       566.5],[      924.5       683.5],[        706         672],[        862         686],[        764       683.5],[        854         853],[      759.5         851],[      846.5        1009],[        756      1010.5],188.29379976482156,172.36646823007862,"[680.421875, 960.921875]","[277.125, 1070.625]",5,stand
5,[        830      346.25],[        846      333.75],[      815.5         333],[        866       346.5],[      793.5         345],[        900      454.75],[        746       446.5],[        921       578.5],[        717       566.5],[      924.5       684.5],[      705.5         672],[        862       686.5],[        764         684],[        854         853],[      759.5         851],[        846        1009],[      755.5        1010],187.74001509077462,172.6349587132707,"[680.671875, 960.671875]","[277.0, 1070.5]",6,stand
6,[      830.5       346.5],[        846      333.75],[        816         333],[        866      346.25],[        793      344.75],[        899         454],[      745.5       446.5],[        920         578],[        718       567.5],[      923.5         685],[      706.5         672],[        862         686],[        764         683],[        854         854],[      759.5       851.5],[      846.5        1009],[        757        1011],187.73862174076598,173.47574106041304,"[679.6875, 959.6875]","[276.3125, 1070.8125]",7,stand
7,[      830.5      346.25],[        846       333.5],[      815.5       332.5],[        866         346],[        793       344.5],[        899         454],[      745.5         446],[        919       578.5],[        718         567],[        923       685.5],[      706.5       671.5],[        862         686],[        764       682.5],[        854         854],[      759.5         851],[      846.5        1009],[        757        1011],186.9852695385353,173.47574106041304,"[680.25, 959.25]","[276.125, 1070.625]",8,stand
8,[      830.5         346],[        846       333.5],[        816       332.5],[        866      345.75],[        793      344.25],[        899      453.75],[      745.5         446],[        918         579],[        718         567],[        923         685],[      706.5         671],[        862         686],[        764         682],[        854         853],[      759.5         851],[      846.5      1008.5],[      756.5        1011],185.92518187738057,173.50569044358113,"[680.125, 959.125]","[276.0, 1070.5]",9,stand
9,[      830.5      345.75],[        846      333.25],[        816         332],[        866      345.75],[        793         344],[        899      453.75],[      745.5      445.75],[      917.5         579],[        718         567],[        923       685.5],[      706.5         671],[        862         686],[        764         682],[        854         854],[      759.5         851],[        846      1008.5],[      756.5        1011],185.4457886066531,173.53122332046183,"[680.125, 958.625]","[275.875, 1070.375]",10,stand
